,Voyagers' Community School,United States of America,Yes,215,Broad Street,,"Eatontown, NJ",07724,http://www.voyagerskids.com,,0017328421660,https://www.facebook.com/voyagerscommunityschool,https://twitter.com/voyagersschool,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/321+W+Farms+Rd/@40.190323,-74.208551,17z/data=!3m1!4b1!4m2!3m1!1s0x89c180079ad14691:0x7074d67467302b34",
,Whole Life Learning Center,United States of America,Yes,10801,Old San Antonio Road,,"Austin, TX",78748,http://www.wholelifelearningcenter.com,michael@wholelifelearningcenter.com,0015129440279,https://www.facebook.com/wholelifelearningcenter,https://twitter.com/wllcaustin,,2011,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/10801+Old+San+Antonio+Rd/@30.147256,-97.798997,17z/data=!3m1!4b1!4m2!3m1!1s0x865b4d24d99eddc9:0xf99c5ec962bdde88",
,Wildcat Community Free School,United States of America,,5801,McBryde Avenue,,"Richmond, CA",94805,http://www.wildcatcommunityfreeschool.org,,0015102376673,,,,,,,,,,,,,,,,,,,,
,Woodland Community School,United States of America,,809,Brook Road,,"Bethlehem, NH",03574,http://www.woodlandcommunityschool.org,woodlandcommunityschool@gmail.com,0016034441221,https://www.facebook.com/Woodland-Community-School-1482816571938485,,,2002,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/809+Brook+Rd/@44.2946665,-71.7388305,17z/data=!3m1!4b1!4m2!3m1!1s0x4cb46f0bb75bb1bd:0xfd4e6040a07da6da",
,Youth Initiative High School,United States of America,Yes,500,E. Jefferson Street Suite 302,,"Viroqua, WI",54665,http://www.yihs.net,shawn@yihs.net,0016086376445,https://www.facebook.com/youthinitiativehighschool,,,1996,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/500+E+Jefferson+St+%23302/@43.5554308,-90.8838573,17z/data=!3m1!4b1!4m2!3m1!1s0x87fc3e75d7494fe7:0x2cea36213354dc6a",
,Kino School,United States of America,Yes,6625,North 1st Avenue,,"Tucson, AZ",85718,http://www.kinoschool.org,info@kinoschool.org,0015202977278,https://www.facebook.com/kinoschool,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/6625+N+1st+Ave/@32.3269173,-110.9617986,17z/data=!3m1!4b1!4m2!3m1!1s0x86d6731a068847db:0xb97445281a4a6847",
,Glacier Lake School,United States of America,Yes,62551,Wild Rose Lane,,"St. Ignatius, MT","59865
",www.glacierlakeschool.com,glacierlakeschool@gmail.com,0014067452345,https://www.facebook.com/glacierlakeschool,https://twitter.com/glacierschool,,2014,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/62551+Wild+Rose+Ln/@47.304538,-114.039335,17z/data=!3m1!4b1!4m2!3m1!1s0x535d8e692e53649f:0x35789adc80a357c9",
,TakingITGlobal,Canada,,19,"Duncan Street, Suite 505",,Toronto,M5H 3H1,http://www.tigweb.org,,0014169779363,https://www.facebook.com/takingitglobal,https://twitter.com/takingitglobal,,1999,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/19+Duncan+St/@43.6479279,-79.3884129,17z/data=!3m1!4b1!4m2!3m1!1s0x882b34d1ae0f587b:0x69432994dee95f2f",
,Schulkollektiv Wien,Republic of Austria,,59,Währinger Straße,,"Vienna",1090,http://schulkollektiv-wien.wuk.at,schulkollektiv@gmx.net,004314094646,,,,1987,,,,,,,,,,,,,,,,
,Associação Cidade Escola Aprendiz,Federative Republic of Brazil,Yes,152,Rua Padre João Gonçalves,Pinheiros,São Paulo,05432-040,http://cidadeescolaaprendiz.org.br,,00551130963900,https://www.facebook.com/associacaocidadeescolaaprendiz,,,1997,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Rua+Padre+Jo%C3%A3o+Gon%C3%A7alves,+152+-+Pinheiros/@-23.5594825,-46.6878521,17z/data=!3m1!4b1!4m2!3m1!1s0x94ce5798faf3f3e7:0xc3ed4b28157edb7a",
,Colégio Nacional,Federative Republic of Brazil,,1195,Rua Clarimundo de Melo,Quintino Bocaiúva,Rio de Janeiro,21311-280,http://www.nacional.edu.br,nacional@nacional.edu.br,005525968543,,,,1978,,,,,,,,,,,,,,,,
,Instituto Helena Lubienska,Federative Republic of Brazil,Yes,255,Rua Paraguassu,,Recife,50711-021,www.lubienska.com.br,lubienska@lubienska.com.br,00558133121444,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Instituto+Helena+Lubienska/@-8.049106,-34.917017,17z/data=!3m1!4b1!4m2!3m1!1s0x7ab1919e10d1f47:0x2b62c5f9bdbf18d4",
,Calgary Board Of Education,Canada,Yes,1221,8 Street Southwest,,Calgary,AB T2R 0L4,http://www.cbe.ab.ca,,0014038174000,,https://twitter.com/yyCBEdu,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1221+8+St+SW/@51.0409479,-114.0815879,17z/data=!3m1!4b1!4m2!3m1!1s0x53716fe018ac4f75:0x29a9cc1f79f9b78",
,Fairfield School,New Zealand,,10,Sickels Street,Fairfield,Dunedin,9018,http://www.fairfield.school.nz,office@fairfield.school.nz,006434882040,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/65+Highland+Ave/@45.0853257,-64.3621486,17z/data=!3m1!4b1!4m2!3m1!1s0x4b58550785fe9b57:0xf2d40b19f72f8d46",
,Næstved Fri Skole,Kingdom of Denmark,Yes,3,Havrebjergvej,,Næstved,4700,http://naestved-fri-skole.dk,friskole@hotmail.com,004555701054,,,,1998,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/Havre+Rd+3,+4700+N%C3%A6stved+-+Denmark/@55.2236219,11.7381961,9z/data=!3m1!4b1",
,Autogéré High School,French Republic,,393,Rue De Vaugirard ,,Paris,75015,http://www.l-a-p.org,contact@lap.org,0033014250394647,https://www.facebook.com/Lyc%C3%A9e-Autog%C3%A9r%C3%A9-de-Paris-108121119296692,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/393+Rue+de+Vaugirard/@48.8340438,2.2919064,17z/data=!3m1!4b1!4m2!3m1!1s0x47e6706c79ce3937:0x1006c67eebb0edbd",
,Experimental High School of Saint-Nazaire,French Republic,,17,Boulevard René Coty,,Saint-Nazaire,44600,http://lycee-experimental.org,lycee.experimental@wanadoo.fr,0033240667852,,,,1982,,,,,,,,,,,,,,,,
,L’École de la Croisée des Chemins,,,10,Rue de la Marseillaise,,Dijon,21000,http://ecoledelacroiseedeschemins.fr,,0033951845067,https://www.facebook.com/EcoleDemocratiquedelaCroiseedesChemins,,,,,,,,,,,,,,,,,,,
,Aarohi Life Education,Republic of India,Yes,Survey No 1032/2,Denkanikottai-Shoolagiri Road,Thiyaranadurgam Village,Kelamangalam,635113,http://www.aarohilife.org,,00919845045833,https://www.facebook.com/aarohilife,,,,,,,,,,,,,,,,,,,
,De Buitenplaats School,Kingdom of the Netherlands,,66,De Buorren,,Drogeham,9289 HH,http://www.debuitenplaats.nu,info@debuitenplaats.nu,0031644143116,https://www.facebook.com/sociocratischeschooldebuitenplaats,,,,,,,,,,,,,,,,,,,
,Escola Básica da Ponte,Portuguese Republic,Yes, Escola Básica da Ponte,Rua José Luís de Andrade,São Tomé de Negrelos,Santo Tirso,4795-638,http://www.escoladaponte.pt,secretariaponte2012@gmail.com,00351252875350,https://www.facebook.com/escolabasicadaponte,,,1975,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Rua+Jos%C3%A9+Lu%C3%ADs+de+Andrade/@41.3490142,-8.4055478,17z/data=!3m1!4b1!4m2!3m1!1s0xd24f4722377e711:0xe651aec4196bfa32",
,מרחב – גן ובית ספר דמוקרטי ברעננה,State of Israel,,4,Ha-Palmakh Street,,Ra'anana,4341404,http://merchav-school.co.il,harshama@merchav-school.co.il,0097297412465,https://www.facebook.com/merchav.school,,,2012,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/HaPalmach+4/@32.1905783,34.8760132,17z/data=!3m1!4b1!4m2!3m1!1s0x151d386f84075af9:0x925430a5fa8f73b8",
,Shure University,Japan,Yes,28-27,Wakamatsu-cho,Shinjuku-ku,Tokyo,,http://shureuniv.org,univ@shure.or.jp,0081351559801,https://www.facebook.com/shureuniv,https://twitter.com/shureuniv,,2002,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/28-27+Wakamatsuch%C5%8D/@35.7005314,139.7188195,17z/data=!3m1!4b1!4m2!3m1!1s0x60188ce3a393592d:0xee4f46b1a9d21b1d",
,Small Acres School,United Kingdom of Great Britain and Northern Ireland,Yes,Peckham Rye Adventure Playground,Homestall Road,Peckham,London,SE22 0SB,http://www.smallacresschool.org,smallacresschool@gmail.com,011447530277491,https://www.facebook.com/SmallAcresSchool,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/292+High+St/@51.3870481,0.1134607,17z/data=!3m1!4b1!4m2!3m1!1s0x47d8ac8a5a5c4087:0xb9a7ee2431350b40",
,The Family School at Larkhall,United Kingdom of Great Britain and Northern Ireland,,206,Lyham Road,,London,SW2 5NR,http://familyschool.pbworks.com,familyschoolster@gmail.com,011447989173391,,,,2007,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/206+Lyham+Rd/@51.4497448,-0.126261,17z/data=!3m1!4b1!4m2!3m1!1s0x4876043856dec1d9:0x8cd634a381c9a244",
,Cedarwood Sudbury School,United States of America,No,2545,Warburton Avenue,,"Santa Clara, CA",95691,,,0014082962072,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2545+Warburton+Ave/@37.356117,-121.971581,17z/data=!3m1!4b1!4m2!3m1!1s0x808fca15a2c048b7:0xf3bb869a9552c937",
,Deep Springs College,United States of America,Yes,"Deep Springs College",Deep Springs Ranch Road,State Route 168,"Big Pine, CA",93513,http://www.deepsprings.edu,apcom@deepsprings.edu,001760872200033,https://www.facebook.com/Deep-Springs-College-131857996289,,,1917,,26,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Deep+Springs+College/@37.373899,-117.98033,17z/data=!3m1!4b1!4m2!3m1!1s0x80be49fac69bf743:0xbb8d055cc9d6b77d",
,Sacramento Valley Charter School,United States of America,Yes,2399,Sellers Way,,"West Sacramento, CA",95691-3046,http://www.sacvalleycharter.org,svcs2399@gmail.com,0019165966422,https://www.facebook.com/sacramentovalleycharterschool,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Deep+Springs+College/@37.373899,-117.98033,17z/data=!3m1!4b1!4m2!3m1!1s0x80be49fac69bf743:0xbb8d055cc9d6b77d",
,The Open School,United States of America,Yes,,,,,,http://www.openschooloc.com,,0019493735440,https://www.facebook.com/TheOpenSchool,https://twitter.com/OpenSchoolOC,,2016,,450,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Mission+Viejo,+CA+92691/@33.60412,-117.6687315,12z/data=!3m1!4b1!4m2!3m1!1s0x80dce93f3afe3f07:0x3e0e8cc89c35ff85",
,The Living Arts School,United States of America,Yes,3796,63rd Street,,"Boulder, CO",80301,http://www.livingartsschool.com,info@livingartsschool.com,0017203834406,https://www.facebook.com/livingartsschool,,,2013,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/645+Holbrook+St/@40.05073,-105.0498,17z/data=!3m1!4b1!4m2!3m1!1s0x876bf5e21ddfca23:0x4aaa500050d8eac7",
,Do Good Media,United States of America,Yes,208,Ohio Avenue North,,"Live Oak, FL",32064,http://www.dogoodmedia.us,info@dogoodmedia.us,0013863622272,https://www.facebook.com/dogoodmedia,https://twitter.com/dogoodmediaINC,,2009,,,,,,,,,,,,,,,,
,Shimer College,United States of America,Yes,3424,South State Street,,"Chicago, IL",60616,http://www.shimer.edu,admission@shimer.edu,0013122353500,https://www.facebook.com/ShimerCollege,https://twitter.com/shimercollege,,1853,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/3424+S+State+St/@40.05073,-105.0498,17z/data=!4m2!3m1!1s0x880e2c0db0adc8a7:0xb328e6318e2e2f04",
,The Sudbury School of Kentuckiana,United States of America,,,,,,,http://www.sudburykentuckiana.org,info@sudburykentuckiana.org,,https://www.facebook.com/sudburykentuckiana,,,1968,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/137+E+Market+St/@38.285376,-85.821963,17z/data=!3m1!4b1!4m2!3m1!1s0x88696c58bc58d02d:0x245d1e154760e9e6",
,Regent High School,United Kingdom of Great Britain and Northern Ireland,Yes,Regent High School,Chalton Street,Kings Cross,London,NW1 1RX,http://www.regenthighschool.org.uk,enquiries@regenthighschool.org.uk,01144 2073870126,,,,2011,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Charrington+St/@51.5336194,-0.1324099,17z/data=!3m1!4b1!4m2!3m1!1s0x48761b2250c12321:0x487735123c8ad97f",
,Edward Devotion School,United States of America,,345,Harvard Street,,"Brookline, MA",02446,http://www.brookline.k12.ma.us/devotion,,0016178794400,https://www.facebook.com/BrooklinePublicSchools,https://twitter.com/@BrooklinePublic,,1970,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Brookline+High+School/@42.333177,-71.128884,17z/data=!3m1!4b1!4m2!3m1!1s0x89e379a442dff16b:0x7295be24bb8fc8d7",
,Children’s Community School,United States of America,Yes,14702,Sylvan Street,,"Van Nuys, CA",91411,http://ccsteaches.org,info@ccsteaches.org,0018187806226,https://www.facebook.com/childrenscommunityschoolvannuys,,,1981,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/14702+Sylvan+St/@34.1843925,-118.4532808,17z/data=!3m1!4b1!4m2!3m1!1s0x80c29708ccd71bfd:0x185c246b4c83daed",
,Children’s Community School (Waterbury),United States of America,Yes,31,Wolcott Street,,"Waterbury, CT",06702,http://www.ccswaterbury.org,,0012035750659,https://www.facebook.com/CCSWaterburyCT,,,,,150,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1+Wolcott+St/@41.5535858,-73.02759,17z/data=!3m1!4b1!4m2!3m1!1s0x89e7c11d1793467b:0x72e01eedddbe5c84",
,Children’s Community School,United States of America,Yes,4243,Spruce Street,,"Philadelphia, PA",19104,http://www.childrenscommunityschool.org,info@childrenscommunityschool.org,0012157241740,https://www.facebook.com/Childrens-Community-School-of-West-Philadelphia-314001316348,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/801+S+48th+St/@39.9479621,-75.2185633,17z/data=!3m1!4b1!4m2!3m1!1s0x89c6c6ec9cd41231:0xde39c6621f5bc0c5",
,Community School of Davidson,United States of America,Yes,565,Griffith Street,,"Davidson, NC",28036,http://www.csdspartans.org,,0017048966262,https://www.facebook.com/CSDCrier,,,2001,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/565+Griffith+St/@35.501767,-80.859463,17z/data=!3m1!4b1!4m2!3m1!1s0x8856abca191a2493:0x7f6de36c5564bfdc",
,Children's Community School,United States of America,Yes,211,Parkway Drive,,"Mount Horeb, WI",53572,http://www.ccsmounthoreb.com,,0016084374121,https://www.facebook.com/ccsmounthoreb,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/211+Parkway+Dr/@43.003724,-89.742535,17z/data=!3m1!4b1!4m2!3m1!1s0x88079774097f03c1:0x7a17e93155217650",
,Our Children's Community School,United States of America,Yes,2204,Joan Avenue,,"Greensboro, NC",27455,http://occsgreensboro.org,maryjordan@occsgreensboro.org,0013362823332,https://www.facebook.com/Our-Childrens-Community-School-100848059961128,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2204+Joan+Ave/@36.119911,-79.831078,17z/data=!3m1!4b1!4m2!3m1!1s0x88531c27a1d88fc1:0x338b82a600197ef0",
,Children's Community Charter School,United States of America,Yes,6830,Pentz Road,,"Paradise, CA",95969,http://paradisecccs.org,mdewell@paradisecccs.org,0015308772227,https://www.facebook.com/CCCSHawks,https://twitter.com/ParadiseCCCS,,,,240,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/6830+Pentz+Rd/@39.7833427,-121.579552,17z/data=!3m1!4b1!4m2!3m1!1s0x809cd45ed7689345:0x84dd29722b151e84",
,All Faiths Children's Academy,United Kingdom of Great Britain and Northern Ireland,,Gun Lane Children’s Centre,Gun Lane,,"Strood, Kent",ME2 4UF,http://www.allfaiths.medway.sch.uk,gunlanecc@allfaiths.medway.sch.uk,011441634717115,,,,,,,,,,,,,,,,,,,,
,Montessori Children’s Community,United States of America,,474,Chadwick Street,,"Sewickley, PA",15143,http://montessorichildrenscommunity.org,montessorichildrenscommunity@comcast.net,0014127418982,https://www.facebook.com/Montessori-Childrens-Community-484354675059749,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/474+Chadwick+St/@40.535233,-80.1864141,17z/data=!3m1!4b1!4m2!3m1!1s0x88345e073f6a5783:0x229924ca6f8a65cb",
,Montessori Children's Community,United States of America,Yes,3424,Maple Avenue,,"Brookfield, IL",60513,http://www.montessori-cc.org,montessoricc@sbcglobal.net,0017084859542,https://www.facebook.com/Montessori-Childrens-Community-110002325705585,,,2008,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/3424+Maple+Ave/@41.8283275,-87.8517781,17z/data=!3m1!4b1!4m2!3m1!1s0x880e35f9badd2781:0xbc2ae07e717ddb2c",
,The Children’s Arts Institute,United States of America,,14702,Sylvan Street,,"Van Nuys, CA",91411,http://childrensartsinstitute.com,george@ccsteaches.org,0018187806226,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/14702+Sylvan+Street+Van+Nuys,+CA+91411/@41.8283275,-87.8517781,17z",
,Platte Valley School District,United States of America,Yes,501,Clark Street,,"Kersey, CO",80644,http://www.plattevalley.k12.co.us,,0019703368500,https://www.facebook.com/pvRE7,,,2004,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/501+Clark+St/@40.3900114,-104.5576722,17z/data=!3m1!4b1!4m2!3m1!1s0x876e9dd16de44393:0x1d179b882945726a",
,The Community School,United States of America,,1164,Bunker Hill Road,,"South Tamworth, NH",03883,http://www.communityschoolnh.net,info@communityschoolnh.org,0016033237000,,,,1989,,30,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1164+Bunker+Hill+Rd/@43.8323083,-71.3284956,17z/data=!3m1!4b1!4m2!3m1!1s0x4cb31340c448a9df:0x1b854f4ecbf6f956",
,The Raleigh School,United States of America,Yes,1141,Raleigh School Drive,,"Raleigh, NC",27607,http://www.raleighschool.org,,0019195460788,https://www.facebook.com/raleighschool,,,1952,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/1071+Raleigh+School+Dr/@35.7955265,-78.7264122,17z/data=!3m1!4b1!4m2!3m1!1s0x89acf46aeac89c15:0xa7a9a9e27b20d378",
,Antioch College,United States of America,Yes,1,Morgan Place,,"Yellow Springs, OH",45387,http://antiochcollege.org,admission@antiochcollege.org,0019377671286,https://www.facebook.com/antiochcollege,https://twitter.com/AntiochCollege,,1850,,200,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Morgan+Pl/@39.8002016,-83.8886618,17z/data=!3m1!4b1!4m2!3m1!1s0x8840a0f552fac267:0x9c1841b7d46165e5",
,The Real School,United States of America,,2805,Wichita Street,,"Houston, TX",77004,http://therealschoolhouston.org,unschool@therealschoolhouston.org,0017135230066,,,,2006,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/2805+Wichita+St/@29.719926,-95.3710119,17z/data=!3m1!4b1!4m2!3m1!1s0x8640bfa2306fd267:0xa3a8931a2b9a078",
,Thompson Rivers University,Canada,Yes,900,McGill Road,,Kamloops,V2C 0C8,http://www.tru.ca,admissions@tru.ca,0012508285000,https://www.facebook.com/tru.kamloops,https://twitter.com/myTRU,,1970,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/BC+Centre+for+Open+Learning,+4th+Floor+900+McGill+Road++Kamloops,+BC+V2C+0C8/@50.8843015,-119.8833685,19z/data=!3m1!4b1",
,Ferme des Enfants,Kingdom of Belgium,Yes,48,Vieille-voie-de-Tongres,,Liège,4000,http://www.lafermedesenfantsdeliege.be,lafermedesenfantsdeliege@gmail.com,003242241324,https://www.facebook.com/profile.php?id=100010021904626,,,1994,,,,,,,,,,,,,,,,
,Portage la Prairie School Division,Canada,Yes,535,3rd Street Northwest,,Portage la Prairie,R1N 2C4,http://www.plpsd.mb.ca,,0012048578756,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/535+3+St+NW/@49.9818441,-98.2941869,17z/data=!3m1!4b1!4m2!3m1!1s0x52e9c611a1fa2fb3:0xe3f7f149413a4859",
,Freie Schule Christophine,Federal Republic of Germany,,24a,Ludwigsburger Straße,,Marbach am Neckar,71672,http://www.freie-schule-marbach.de,sekretariat@freie-schule-marbach.de,004971443058098,https://www.facebook.com/Freie-Schule-Christophine-in-Marbach-162623737117678,,,,,,,,,,,,,,,,,,,
,Blink Basisonderwijs,Kingdom of the Netherlands,Yes,9,Jan van Riebeeckstraat,,Culemborg,4105 BA,http://www.blinkschool.nl,info@blinkschool.nl,0031345523698,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Jan+van+Riebeeckstraat+9/@51.9513205,5.2196743,17z/data=!3m1!4b1!4m2!3m1!1s0x47c65e2ba8960c2d:0xf7a2f949fc2ea0e0",
,Democratische School Utrecht,Kingdom of the Netherlands,,,,,,,http://democratischeschoolutrecht.wordpress.com/,democratischeschoolutrecht@gmail.com,0031627032481,https://www.facebook.com/DemocratischeSchoolUtrecht,,,,,,,,,,,,,,,,,,,
,Dorendal School,Kingdom of the Netherlands,,23,Bachlaan,,Doorwerth,6865 EN,http://www.dorendal.nl,info@dorendal.nl,0031263333892,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/6865+Doorwerth/@51.978375,5.7926804,14z/data=!3m1!4b1!4m2!3m1!1s0x47c7aedb947d1339:0xeac783cd737aa06e",
,De Wegwijzer,Kingdom of the Netherlands,Yes,1,Mozartlaan,,Doorwerth,6865 GA ,http://www.obs-dewegwijzer.nl,info@obs-dewegwijzer.nl,0031263333782,,,,1922,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Mozartlaan+1/@51.9798143,5.7960516,17z/data=!3m1!4b1!4m2!3m1!1s0x47c7aedb8a7bff43:0x1465fe735a5fb9e9",
,De Mariënborn School,Kingdom of the Netherlands,Yes,28,Mariënbergweg,,Oosterbeek,6862 ZM,http://www.demarienborn.nl,info@demarienborn.nl,0031263335274,https://www.facebook.com/demarienborn,https://twitter.com/demarienborn,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Paasberg+14/@51.9864255,5.8389554,17z/data=!4m2!3m1!1s0x47c7af6bd9f525a3:0x1916045d3964d160",
,De Marlijn Primary School,Kingdom of the Netherlands,Yes,11,Van Spaenweg,,Oosterbeek,6862 XH ,http://www.demarlijn.nl,info@demarlijn.nl,0031263334423,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Van+Spaenweg+11/@51.9825642,5.854128,17z/data=!3m1!4b1!4m2!3m1!1s0x47c7af609c70246d:0xeb86ca754927d403",
,De Bernulphusschool,Kingdom of the Netherlands,Yes,10,Pastoor Bruggemanlaan,,Oosterbeek,6861 GR,http://www.bernulphusschool.nl,directie@bernulphusschool.nl,0031263332458,https://www.facebook.com/bernulphusschool.oosterbeek,https://twitter.com/Bernulphus,,,,200,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/6860+AC+Oosterbeek/@51.9860305,5.8366812,14z/data=!3m1!4b1",
,Dr. Jac. P. Thijsseschool,Kingdom of the Netherlands,Yes,111,Bram Streeflandweg,,Renkum,6870 AB,http://jpthijsseschool.nl,info@jpthijsseschool.nl,0031317313049,https://twitter.com/JPThijsseschool,,,1996,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Renkum/@51.989328,5.842706,17z/data=!3m1!4b1!4m2!3m1!1s0x47c7af6edd997861:0xa20f85790695703b",
,Airborneschool,Kingdom of the Netherlands,Yes,53,Bram Streeflandweg,,Renkum,6871 HV,http://www.airborneschool.nl,directie@airborneschool.nl,0031317312567,https://www.facebook.com/Airborneschool-Renkum-690784580947188,,,1944,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/6871+Renkum/@51.9929297,5.7421649,13z/data=!3m1!4b1!4m2!3m1!1s0x47c7ac09339be3a7:0xdb9fb67545e825e",
,Vita Vera School,Kingdom of the Netherlands,Yes,107,Bram Streeflandweg,,Renkum,6871 HV,http://www.vitavera-skovv.nl,info@vitavera-skovv.nl,0031317313178,,https://twitter.com/VitaVeraSchool,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/+Road+107++6871+HV+Renkum+/@51.9929297,5.7421649,10z/data=!3m1!4b1",
,De Brouwerij School,Kingdom of the Netherlands,,3а,Horalaan,,Ede,6717 LX,http://www.sgmbrouwerij.nl,frontoffice@sgmbrouwerij.nl,0031488417700,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Honigkamp+44/@51.9801274,5.9526307,17z/data=!3m1!4b1!4m2!3m1!1s0x47c7a47262568913:0x19006c86c253fc68",
,Golden Grove School,New Zealand,Yes,57,Grey Street,Onehunga,Auckland City,1061,http://www.goldengrove.school.nz,office@goldengrove.school.nz,006496364461,,,,,,32,,,,,,,,,,,,,"https://www.google.com.bd/maps/search/57+Grey+Street,+Onehunga,+Auckland/@-37.0010357,174.8767577,17z",
,Prestolee Primary School,United Kingdom of Great Britain and Northern Ireland,Yes,Prestolee Primary School,Church Road,,"Radcliffe, Greater Manchester",M26 1HJ,http://www.prestolee.bolton.sch.uk,office@prestolee.bolton.sch.uk,00441204331521,,https://twitter.com/prestolee_1911,,1911,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Radcliffe/@53.5482735,-2.3710675,17z/data=!3m1!4b1!4m2!3m1!1s0x487ba5fcf71aef33:0x12b2e4499e2676fc",
,Freie Schule Bochum,Federal Republic of Germany,Yes,270,Wiemelhauser Straße,,Bochum,44799,http://www.freieschulebochum.de,info@freie-schule-bochum.de,004923472648,,,,,,,,,,,,,,,,,,,"https://www.google.com.bd/maps/place/Wiemelhauser+Stra%C3%9Fe+270/@51.45809,7.22798,17z/data=!3m1!4b1!4m2!3m1!1s0x47b8dffc34928269:0xac53f9f1f0c65e0f",
,Escuelas Vivas en Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Child'space,Commonwealth of Australia,,Sabina Vale Farm,,,Busselton,,http://thechildspace.blogspot.com.au,thechildspace.au@gmail.com,,https://www.facebook.com/The-Childspace-Project-482640831811895,,,2011,,,,,,,,,,,,,,,,
,Koonwarra Village School,Commonwealth of Australia,,20-26,Koala Drive,,Koonwarra,3954,http://www.koonwarravillageschool.org,admin@koonwarravillageschool.org,006156642477,,,,2012,,,,,,,,,,,,,,,,
,Questlife Learning,,,,,,,,,quest@questlife.com.au,0061458278785,,,,,,,,,,,,,,,,,,,,
,Peninsula International Academy,Belize,Yes,Sunset Pointe,,,Placencia,,https://peninsulaacademy.shutterfly.com,info@peninsulaacademy.org,005016013523,https://www.facebook.com/PeninsulaInternationalAcademy,,,,,,,,,Yes,,,,,,,,,,
,Colegio Kurmi Wasi,Plurinational State of Bolivia,Yes,38,Callejon Ingavi,,Achocalla,,http://www.kurmiwasi.org,info@kurmiwasi.org,0059122890285,https://www.facebook.com/Kurmi-Wasi-319136591472262,,,,,,,,,,,,,,,,,,,
,Colegio Quillahua,Republic of Chile,,1571,Avenida Cardenal Jose Maria Caro,,"Conchalí, Santiago",,http://www.colegioquillahua.cl,,00566244296,https://www.facebook.com/ColegioQuillahua,,,2010,,,,,,Yes,,,,,,,,,,
,iSkool,People's Republic of China,,,Zhangyang Road,Pudong,Shanghai,,http://2014.iskool.cn,services@iskool.info,,,,,,,,,,,Yes,,,,,,,,,,
